filepath,xmin,xmax,ymin,ymax
Users\EAGLEEYE\ALPD\ALPD\images\N49.xml,268,314,171,190
Users\EAGLEEYE\ALPD\ALPD\images\N474.xml,156,335,259,303
Users\EAGLEEYE\ALPD\ALPD\images\N312.xml,111,518,66,246
Users\EAGLEEYE\ALPD\ALPD\images\N306.xml,139,249,282,310
Users\EAGLEEYE\ALPD\ALPD\images\N460.xml,360,500,171,206
Users\EAGLEEYE\ALPD\ALPD\images\N448.xml,373,528,366,408
Users\EAGLEEYE\ALPD\ALPD\images\N449.xml,99,216,367,423
Users\EAGLEEYE\ALPD\ALPD\images\N307.xml,172,437,163,220
Users\EAGLEEYE\ALPD\ALPD\images\N461.xml,856,1218,665,751
Users\EAGLEEYE\ALPD\ALPD\images\N475.xml,196,352,135,173
Users\EAGLEEYE\ALPD\ALPD\images\N313.xml,176,252,211,246
Users\EAGLEEYE\ALPD\ALPD\images\N48.xml,95,286,117,155
Users\EAGLEEYE\ALPD\ALPD\images\N74.xml,115,277,115,153
Users\EAGLEEYE\ALPD\ALPD\images\N60.xml,45,364,98,159
Users\EAGLEEYE\ALPD\ALPD\images\N111.xml,319,478,165,204
Users\EAGLEEYE\ALPD\ALPD\images\N529.xml,148,239,250,320
Users\EAGLEEYE\ALPD\ALPD\images\N273.xml,74,264,132,173
Users\EAGLEEYE\ALPD\ALPD\images\N515.xml,23,408,173,391
Users\EAGLEEYE\ALPD\ALPD\images\N501.xml,113,277,288,347
Users\EAGLEEYE\ALPD\ALPD\images\N267.xml,274,343,118,138
Users\EAGLEEYE\ALPD\ALPD\images\N298.xml,166,233,148,184
Users\EAGLEEYE\ALPD\ALPD\images\N9.xml,164,272,224,247
Users\EAGLEEYE\ALPD\ALPD\images\N288.xml,97,164,148,169
Users\EAGLEEYE\ALPD\ALPD\images\N539.xml,647,736,332,387
Users\EAGLEEYE\ALPD\ALPD\images\N263.xml,129,232,260,290
Users\EAGLEEYE\ALPD\ALPD\images\N505.xml,235,349,319,352
Users\EAGLEEYE\ALPD\ALPD\images\N511.xml,239,347,187,211
Users\EAGLEEYE\ALPD\ALPD\images\N129.xml,204,282,213,267
Users\EAGLEEYE\ALPD\ALPD\images\N115.xml,315,407,287,311
Users\EAGLEEYE\ALPD\ALPD\images\N101.xml,167,240,202,220
Users\EAGLEEYE\ALPD\ALPD\images\N58.xml,154,241,166,187
Users\EAGLEEYE\ALPD\ALPD\images\N64.xml,120,325,187,220
Users\EAGLEEYE\ALPD\ALPD\images\N70.xml,179,213,115,133
Users\EAGLEEYE\ALPD\ALPD\images\N459.xml,256,381,233,261
Users\EAGLEEYE\ALPD\ALPD\images\N317.xml,164,240,202,220
Users\EAGLEEYE\ALPD\ALPD\images\N471.xml,107,256,147,180
Users\EAGLEEYE\ALPD\ALPD\images\N465.xml,77,200,231,290
Users\EAGLEEYE\ALPD\ALPD\images\N303.xml,150,247,211,237
Users\EAGLEEYE\ALPD\ALPD\images\N464.xml,392,517,161,213
Users\EAGLEEYE\ALPD\ALPD\images\N302.xml,222,425,98,149
Users\EAGLEEYE\ALPD\ALPD\images\N316.xml,377,476,405,439
Users\EAGLEEYE\ALPD\ALPD\images\N470.xml,113,257,282,322
Users\EAGLEEYE\ALPD\ALPD\images\N458.xml,928,1219,543,606
Users\EAGLEEYE\ALPD\ALPD\images\N71.xml,254,284,144,152
Users\EAGLEEYE\ALPD\ALPD\images\N65.xml,207,300,200,260
Users\EAGLEEYE\ALPD\ALPD\images\N59.xml,324,375,162,175
Users\EAGLEEYE\ALPD\ALPD\images\N100.xml,175,214,114,131
Users\EAGLEEYE\ALPD\ALPD\images\N128.xml,112,306,65,173
Users\EAGLEEYE\ALPD\ALPD\images\N510.xml,53,185,206,232
Users\EAGLEEYE\ALPD\ALPD\images\N276.xml,115,276,116,156
Users\EAGLEEYE\ALPD\ALPD\images\N262.xml,243,285,184,205
Users\EAGLEEYE\ALPD\ALPD\images\N504.xml,456,651,722,778
Users\EAGLEEYE\ALPD\ALPD\images\N538.xml,180,559,216,314
Users\EAGLEEYE\ALPD\ALPD\images\N289.xml,163,271,140,173
Users\EAGLEEYE\ALPD\ALPD\images\N8.xml,204,304,104,134
Users\EAGLEEYE\ALPD\ALPD\images\N248.xml,184,311,143,191
Users\EAGLEEYE\ALPD\ALPD\images\N274.xml,196,253,149,169
Users\EAGLEEYE\ALPD\ALPD\images\N512.xml,113,420,209,260
Users\EAGLEEYE\ALPD\ALPD\images\N506.xml,163,302,357,427
Users\EAGLEEYE\ALPD\ALPD\images\N260.xml,170,232,112,129
Users\EAGLEEYE\ALPD\ALPD\images\N102.xml,66,322,147,199
Users\EAGLEEYE\ALPD\ALPD\images\N116.xml,149,267,218,247
Users\EAGLEEYE\ALPD\ALPD\images\N499.xml,361,566,190,297
Users\EAGLEEYE\ALPD\ALPD\images\N73.xml,119,283,22,69
Users\EAGLEEYE\ALPD\ALPD\images\N67.xml,189,328,223,248
Users\EAGLEEYE\ALPD\ALPD\images\N328.xml,156,248,149,170
Users\EAGLEEYE\ALPD\ALPD\images\N98.xml,85,247,196,259
Users\EAGLEEYE\ALPD\ALPD\images\N300.xml,259,317,185,215
Users\EAGLEEYE\ALPD\ALPD\images\N466.xml,397,645,590,641
Users\EAGLEEYE\ALPD\ALPD\images\N472.xml,454,797,109,234
Users\EAGLEEYE\ALPD\ALPD\images\N314.xml,195,274,149,209
Users\EAGLEEYE\ALPD\ALPD\images\N473.xml,161,313,212,259
Users\EAGLEEYE\ALPD\ALPD\images\N315.xml,12,385,98,181
Users\EAGLEEYE\ALPD\ALPD\images\N301.xml,205,303,107,135
Users\EAGLEEYE\ALPD\ALPD\images\N467.xml,328,580,208,254
Users\EAGLEEYE\ALPD\ALPD\images\N99.xml,70,262,198,271
Users\EAGLEEYE\ALPD\ALPD\images\N329.xml,166,224,142,176
Users\EAGLEEYE\ALPD\ALPD\images\N66.xml,144,211,170,202
Users\EAGLEEYE\ALPD\ALPD\images\N72.xml,156,255,182,208
Users\EAGLEEYE\ALPD\ALPD\images\N498.xml,466,740,680,737
Users\EAGLEEYE\ALPD\ALPD\images\N117.xml,42,86,126,137
Users\EAGLEEYE\ALPD\ALPD\images\N507.xml,448,638,273,338
Users\EAGLEEYE\ALPD\ALPD\images\N261.xml,1,464,74,154
Users\EAGLEEYE\ALPD\ALPD\images\N275.xml,99,162,150,167
Users\EAGLEEYE\ALPD\ALPD\images\N513.xml,385,746,293,434
Users\EAGLEEYE\ALPD\ALPD\images\N212.xml,105,290,94,141
Users\EAGLEEYE\ALPD\ALPD\images\N206.xml,95,164,185,206
Users\EAGLEEYE\ALPD\ALPD\images\N164.xml,160,239,144,183
Users\EAGLEEYE\ALPD\ALPD\images\N170.xml,318,346,190,224
Users\EAGLEEYE\ALPD\ALPD\images\N158.xml,97,296,118,210
Users\EAGLEEYE\ALPD\ALPD\images\N29.xml,143,211,171,208
Users\EAGLEEYE\ALPD\ALPD\images\N399.xml,106,309,62,161
Users\EAGLEEYE\ALPD\ALPD\images\N366.xml,144,316,112,160
Users\EAGLEEYE\ALPD\ALPD\images\N414.xml,269,309,206,228
Users\EAGLEEYE\ALPD\ALPD\images\N372.xml,221,353,275,309
Users\EAGLEEYE\ALPD\ALPD\images\N428.xml,142,258,128,157
Users\EAGLEEYE\ALPD\ALPD\images\N429.xml,86,208,166,195
Users\EAGLEEYE\ALPD\ALPD\images\N415.xml,133,261,157,192
Users\EAGLEEYE\ALPD\ALPD\images\N373.xml,161,264,132,157
Users\EAGLEEYE\ALPD\ALPD\images\N367.xml,224,382,161,222
Users\EAGLEEYE\ALPD\ALPD\images\N401.xml,158,238,223,240
Users\EAGLEEYE\ALPD\ALPD\images\N14.xml,94,274,118,163
Users\EAGLEEYE\ALPD\ALPD\images\N159.xml,149,261,184,211
Users\EAGLEEYE\ALPD\ALPD\images\N171.xml,192,242,146,167
Users\EAGLEEYE\ALPD\ALPD\images\N165.xml,209,293,217,254
Users\EAGLEEYE\ALPD\ALPD\images\N213.xml,150,233,160,194
Users\EAGLEEYE\ALPD\ALPD\images\N205.xml,156,221,162,199
Users\EAGLEEYE\ALPD\ALPD\images\N211.xml,28,387,64,235
Users\EAGLEEYE\ALPD\ALPD\images\N239.xml,176,326,254,284
Users\EAGLEEYE\ALPD\ALPD\images\N198.xml,166,273,225,246
Users\EAGLEEYE\ALPD\ALPD\images\N173.xml,170,252,118,163
Users\EAGLEEYE\ALPD\ALPD\images\N167.xml,176,327,254,285
Users\EAGLEEYE\ALPD\ALPD\images\N371.xml,313,371,135,150
Users\EAGLEEYE\ALPD\ALPD\images\N417.xml,90,273,145,196
Users\EAGLEEYE\ALPD\ALPD\images\N365.xml,293,373,205,226
Users\EAGLEEYE\ALPD\ALPD\images\N359.xml,228,266,228,240
Users\EAGLEEYE\ALPD\ALPD\images\N402.xml,360,438,165,181
Users\EAGLEEYE\ALPD\ALPD\images\N364.xml,61,115,140,167
Users\EAGLEEYE\ALPD\ALPD\images\N370.xml,285,425,249,276
Users\EAGLEEYE\ALPD\ALPD\images\N416.xml,150,234,207,221
Users\EAGLEEYE\ALPD\ALPD\images\N166.xml,148,201,123,150
Users\EAGLEEYE\ALPD\ALPD\images\N172.xml,173,301,209,239
Users\EAGLEEYE\ALPD\ALPD\images\N199.xml,59,310,88,158
Users\EAGLEEYE\ALPD\ALPD\images\N238.xml,276,396,186,273
Users\EAGLEEYE\ALPD\ALPD\images\N210.xml,54,315,90,159
Users\EAGLEEYE\ALPD\ALPD\images\N204.xml,193,279,145,187
Users\EAGLEEYE\ALPD\ALPD\images\N200.xml,95,195,189,217
Users\EAGLEEYE\ALPD\ALPD\images\N189.xml,285,423,241,286
Users\EAGLEEYE\ALPD\ALPD\images\N176.xml,72,308,67,185
Users\EAGLEEYE\ALPD\ALPD\images\N162.xml,201,268,168,213
Users\EAGLEEYE\ALPD\ALPD\images\N13.xml,191,242,147,169
Users\EAGLEEYE\ALPD\ALPD\images\N348.xml,156,250,121,204
Users\EAGLEEYE\ALPD\ALPD\images\N412.xml,221,362,172,202
Users\EAGLEEYE\ALPD\ALPD\images\N374.xml,354,441,118,142
Users\EAGLEEYE\ALPD\ALPD\images\N406.xml,285,374,185,226
Users\EAGLEEYE\ALPD\ALPD\images\N361.xml,148,305,113,178
Users\EAGLEEYE\ALPD\ALPD\images\N375.xml,144,300,114,145
Users\EAGLEEYE\ALPD\ALPD\images\N349.xml,38,146,225,249
Users\EAGLEEYE\ALPD\ALPD\images\N12.xml,122,277,82,117
Users\EAGLEEYE\ALPD\ALPD\images\N163.xml,220,360,173,200
Users\EAGLEEYE\ALPD\ALPD\images\N177.xml,149,272,166,193
Users\EAGLEEYE\ALPD\ALPD\images\N201.xml,216,367,171,208
Users\EAGLEEYE\ALPD\ALPD\images\N217.xml,149,223,196,231
Users\EAGLEEYE\ALPD\ALPD\images\N203.xml,116,271,112,165
Users\EAGLEEYE\ALPD\ALPD\images\N149.xml,212,245,182,203
Users\EAGLEEYE\ALPD\ALPD\images\N161.xml,312,406,283,311
Users\EAGLEEYE\ALPD\ALPD\images\N175.xml,295,456,237,367
Users\EAGLEEYE\ALPD\ALPD\images\N388.xml,149,255,130,158
Users\EAGLEEYE\ALPD\ALPD\images\N38.xml,168,240,196,231
Users\EAGLEEYE\ALPD\ALPD\images\N439.xml,1149,1358,649,702
Users\EAGLEEYE\ALPD\ALPD\images\N405.xml,241,299,207,232
Users\EAGLEEYE\ALPD\ALPD\images\N363.xml,153,254,169,204
Users\EAGLEEYE\ALPD\ALPD\images\N377.xml,177,216,138,161
Users\EAGLEEYE\ALPD\ALPD\images\N411.xml,160,249,153,197
Users\EAGLEEYE\ALPD\ALPD\images\N376.xml,159,252,178,203
Users\EAGLEEYE\ALPD\ALPD\images\N410.xml,51,219,150,212
Users\EAGLEEYE\ALPD\ALPD\images\N404.xml,162,235,208,244
Users\EAGLEEYE\ALPD\ALPD\images\N438.xml,858,1122,611,676
Users\EAGLEEYE\ALPD\ALPD\images\N11.xml,131,273,206,234
Users\EAGLEEYE\ALPD\ALPD\images\N39.xml,225,328,180,213
Users\EAGLEEYE\ALPD\ALPD\images\N389.xml,77,222,305,370
Users\EAGLEEYE\ALPD\ALPD\images\N160.xml,209,281,137,174
Users\EAGLEEYE\ALPD\ALPD\images\N148.xml,135,218,134,158
Users\EAGLEEYE\ALPD\ALPD\images\N202.xml,197,249,135,159
Users\EAGLEEYE\ALPD\ALPD\images\N216.xml,205,280,214,262
Users\EAGLEEYE\ALPD\ALPD\images\N233.xml,189,259,55,78
Users\EAGLEEYE\ALPD\ALPD\images\N541.xml,342,494,243,288
Users\EAGLEEYE\ALPD\ALPD\images\N227.xml,118,153,199,211
Users\EAGLEEYE\ALPD\ALPD\images\N186.xml,175,242,152,175
Users\EAGLEEYE\ALPD\ALPD\images\N192.xml,108,211,150,173
Users\EAGLEEYE\ALPD\ALPD\images\N145.xml,282,422,236,283
Users\EAGLEEYE\ALPD\ALPD\images\N151.xml,54,120,135,178
Users\EAGLEEYE\ALPD\ALPD\images\N179.xml,72,132,160,197
Users\EAGLEEYE\ALPD\ALPD\images\N34.xml,147,260,181,206
Users\EAGLEEYE\ALPD\ALPD\images\N435.xml,73,260,381,462
Users\EAGLEEYE\ALPD\ALPD\images\N353.xml,93,201,189,221
Users\EAGLEEYE\ALPD\ALPD\images\N409.xml,116,203,146,168
Users\EAGLEEYE\ALPD\ALPD\images\N434.xml,1093,1396,645,727
Users\EAGLEEYE\ALPD\ALPD\images\N346.xml,91,197,185,217
Users\EAGLEEYE\ALPD\ALPD\images\N420.xml,112,160,186,211
Users\EAGLEEYE\ALPD\ALPD\images\N21.xml,191,255,165,192
Users\EAGLEEYE\ALPD\ALPD\images\N391.xml,270,320,163,190
Users\EAGLEEYE\ALPD\ALPD\images\N385.xml,69,310,75,191
Users\EAGLEEYE\ALPD\ALPD\images\N35.xml,91,137,186,208
Users\EAGLEEYE\ALPD\ALPD\images\N178.xml,126,173,180,205
Users\EAGLEEYE\ALPD\ALPD\images\N150.xml,122,262,198,232
Users\EAGLEEYE\ALPD\ALPD\images\N144.xml,101,215,114,154
Users\EAGLEEYE\ALPD\ALPD\images\N193.xml,306,344,193,214
Users\EAGLEEYE\ALPD\ALPD\images\N187.xml,96,287,116,155
Users\EAGLEEYE\ALPD\ALPD\images\N540.xml,311,506,324,370
Users\EAGLEEYE\ALPD\ALPD\images\N226.xml,249,318,194,213
Users\EAGLEEYE\ALPD\ALPD\images\N232.xml,175,228,174,201
Users\EAGLEEYE\ALPD\ALPD\images\N224.xml,181,243,250,275
Users\EAGLEEYE\ALPD\ALPD\images\N542.xml,11,246,78,165
Users\EAGLEEYE\ALPD\ALPD\images\N230.xml,222,361,173,202
Users\EAGLEEYE\ALPD\ALPD\images\N191.xml,96,199,189,217
Users\EAGLEEYE\ALPD\ALPD\images\N185.xml,154,293,147,194
Users\EAGLEEYE\ALPD\ALPD\images\N152.xml,92,199,258,284
Users\EAGLEEYE\ALPD\ALPD\images\N393.xml,94,211,171,208
Users\EAGLEEYE\ALPD\ALPD\images\N23.xml,143,213,172,211
Users\EAGLEEYE\ALPD\ALPD\images\N37.xml,146,246,114,163
Users\EAGLEEYE\ALPD\ALPD\images\N387.xml,163,256,187,225
Users\EAGLEEYE\ALPD\ALPD\images\N350.xml,162,211,179,188
Users\EAGLEEYE\ALPD\ALPD\images\N436.xml,1326,1830,1464,1607
Users\EAGLEEYE\ALPD\ALPD\images\N422.xml,159,296,126,182
Users\EAGLEEYE\ALPD\ALPD\images\N344.xml,240,379,158,217
Users\EAGLEEYE\ALPD\ALPD\images\N378.xml,118,254,92,137
Users\EAGLEEYE\ALPD\ALPD\images\N379.xml,197,351,197,245
Users\EAGLEEYE\ALPD\ALPD\images\N423.xml,162,283,159,183
Users\EAGLEEYE\ALPD\ALPD\images\N345.xml,173,247,143,182
Users\EAGLEEYE\ALPD\ALPD\images\N351.xml,249,368,48,129
Users\EAGLEEYE\ALPD\ALPD\images\N437.xml,938,1173,709,762
Users\EAGLEEYE\ALPD\ALPD\images\N386.xml,83,221,307,368
Users\EAGLEEYE\ALPD\ALPD\images\N36.xml,203,285,193,229
Users\EAGLEEYE\ALPD\ALPD\images\N22.xml,207,260,104,116
Users\EAGLEEYE\ALPD\ALPD\images\N392.xml,144,260,150,209
Users\EAGLEEYE\ALPD\ALPD\images\N147.xml,226,420,125,169
Users\EAGLEEYE\ALPD\ALPD\images\N153.xml,146,311,118,170
Users\EAGLEEYE\ALPD\ALPD\images\N184.xml,163,212,146,159
Users\EAGLEEYE\ALPD\ALPD\images\N190.xml,149,245,210,235
Users\EAGLEEYE\ALPD\ALPD\images\N219.xml,127,462,172,236
Users\EAGLEEYE\ALPD\ALPD\images\N231.xml,64,133,160,180
Users\EAGLEEYE\ALPD\ALPD\images\N225.xml,189,384,161,215
Users\EAGLEEYE\ALPD\ALPD\images\N543.xml,165,328,276,324
Users\EAGLEEYE\ALPD\ALPD\images\N547.xml,301,504,351,402
Users\EAGLEEYE\ALPD\ALPD\images\N235.xml,152,247,145,167
Users\EAGLEEYE\ALPD\ALPD\images\N194.xml,267,316,170,183
Users\EAGLEEYE\ALPD\ALPD\images\N180.xml,151,304,115,187
Users\EAGLEEYE\ALPD\ALPD\images\N157.xml,330,366,152,179
Users\EAGLEEYE\ALPD\ALPD\images\N396.xml,181,269,264,289
Users\EAGLEEYE\ALPD\ALPD\images\N26.xml,258,321,184,213
Users\EAGLEEYE\ALPD\ALPD\images\N32.xml,200,251,149,167
Users\EAGLEEYE\ALPD\ALPD\images\N382.xml,149,285,206,240
Users\EAGLEEYE\ALPD\ALPD\images\N369.xml,176,325,253,280
Users\EAGLEEYE\ALPD\ALPD\images\N433.xml,1804,2493,1734,1882
Users\EAGLEEYE\ALPD\ALPD\images\N355.xml,164,239,154,190
Users\EAGLEEYE\ALPD\ALPD\images\N341.xml,47,115,161,192
Users\EAGLEEYE\ALPD\ALPD\images\N427.xml,236,375,193,228
Users\EAGLEEYE\ALPD\ALPD\images\N340.xml,270,321,126,143
Users\EAGLEEYE\ALPD\ALPD\images\N426.xml,148,282,206,238
Users\EAGLEEYE\ALPD\ALPD\images\N432.xml,95,196,258,284
Users\EAGLEEYE\ALPD\ALPD\images\N368.xml,173,223,173,203
Users\EAGLEEYE\ALPD\ALPD\images\N33.xml,94,306,56,169
Users\EAGLEEYE\ALPD\ALPD\images\N27.xml,148,245,127,159
Users\EAGLEEYE\ALPD\ALPD\images\N397.xml,144,216,169,212
Users\EAGLEEYE\ALPD\ALPD\images\N142.xml,178,273,124,144
Users\EAGLEEYE\ALPD\ALPD\images\N181.xml,69,128,195,209
Users\EAGLEEYE\ALPD\ALPD\images\N195.xml,450,526,223,244
Users\EAGLEEYE\ALPD\ALPD\images\N234.xml,160,246,149,171
Users\EAGLEEYE\ALPD\ALPD\images\N546.xml,58,221,198,271
Users\EAGLEEYE\ALPD\ALPD\images\N220.xml,142,188,168,182
Users\EAGLEEYE\ALPD\ALPD\images\N208.xml,142,232,123,169
Users\EAGLEEYE\ALPD\ALPD\images\N236.xml,223,250,106,119
Users\EAGLEEYE\ALPD\ALPD\images\N222.xml,178,235,158,170
Users\EAGLEEYE\ALPD\ALPD\images\N544.xml,149,399,269,327
Users\EAGLEEYE\ALPD\ALPD\images\N183.xml,97,234,138,170
Users\EAGLEEYE\ALPD\ALPD\images\N197.xml,222,359,176,201
Users\EAGLEEYE\ALPD\ALPD\images\N168.xml,82,137,95,125
Users\EAGLEEYE\ALPD\ALPD\images\N140.xml,283,424,239,286
Users\EAGLEEYE\ALPD\ALPD\images\N154.xml,70,264,197,265
Users\EAGLEEYE\ALPD\ALPD\images\N19.xml,148,221,195,232
Users\EAGLEEYE\ALPD\ALPD\images\N31.xml,286,400,173,211
Users\EAGLEEYE\ALPD\ALPD\images\N381.xml,65,147,131,155
Users\EAGLEEYE\ALPD\ALPD\images\N395.xml,241,288,182,205
Users\EAGLEEYE\ALPD\ALPD\images\N25.xml,177,216,139,159
Users\EAGLEEYE\ALPD\ALPD\images\N418.xml,99,303,70,155
Users\EAGLEEYE\ALPD\ALPD\images\N424.xml,128,461,173,242
Users\EAGLEEYE\ALPD\ALPD\images\N342.xml,196,253,148,169
Users\EAGLEEYE\ALPD\ALPD\images\N356.xml,241,364,216,275
Users\EAGLEEYE\ALPD\ALPD\images\N430.xml,38,116,159,197
Users\EAGLEEYE\ALPD\ALPD\images\N357.xml,92,137,187,207
Users\EAGLEEYE\ALPD\ALPD\images\N431.xml,55,343,82,147
Users\EAGLEEYE\ALPD\ALPD\images\N425.xml,211,301,103,132
Users\EAGLEEYE\ALPD\ALPD\images\N343.xml,110,162,186,209
Users\EAGLEEYE\ALPD\ALPD\images\N419.xml,195,349,196,242
Users\EAGLEEYE\ALPD\ALPD\images\N24.xml,167,240,202,221
Users\EAGLEEYE\ALPD\ALPD\images\N394.xml,291,410,167,190
Users\EAGLEEYE\ALPD\ALPD\images\N18.xml,313,405,286,311
Users\EAGLEEYE\ALPD\ALPD\images\N155.xml,150,203,177,190
Users\EAGLEEYE\ALPD\ALPD\images\N169.xml,114,229,79,101
Users\EAGLEEYE\ALPD\ALPD\images\N182.xml,168,247,139,159
Users\EAGLEEYE\ALPD\ALPD\images\N545.xml,24,142,209,245
Users\EAGLEEYE\ALPD\ALPD\images\N237.xml,118,154,148,169
Users\EAGLEEYE\ALPD\ALPD\images\N6.xml,112,373,114,239
Users\EAGLEEYE\ALPD\ALPD\images\N293.xml,64,130,160,181
Users\EAGLEEYE\ALPD\ALPD\images\N287.xml,148,262,180,213
Users\EAGLEEYE\ALPD\ALPD\images\N536.xml,120,249,161,202
Users\EAGLEEYE\ALPD\ALPD\images\N250.xml,132,261,123,160
Users\EAGLEEYE\ALPD\ALPD\images\N244.xml,20,360,87,155
Users\EAGLEEYE\ALPD\ALPD\images\N522.xml,164,316,216,243
Users\EAGLEEYE\ALPD\ALPD\images\N126.xml,103,293,99,201
Users\EAGLEEYE\ALPD\ALPD\images\N481.xml,302,486,265,303
Users\EAGLEEYE\ALPD\ALPD\images\N57.xml,270,321,162,195
Users\EAGLEEYE\ALPD\ALPD\images\N43.xml,142,319,111,161
Users\EAGLEEYE\ALPD\ALPD\images\N495.xml,186,325,177,212
Users\EAGLEEYE\ALPD\ALPD\images\N442.xml,131,187,130,144
Users\EAGLEEYE\ALPD\ALPD\images\N94.xml,176,251,210,248
Users\EAGLEEYE\ALPD\ALPD\images\N324.xml,151,255,138,159
Users\EAGLEEYE\ALPD\ALPD\images\N330.xml,29,57,192,203
Users\EAGLEEYE\ALPD\ALPD\images\N80.xml,94,279,148,186
Users\EAGLEEYE\ALPD\ALPD\images\N456.xml,696,1061,546,677
Users\EAGLEEYE\ALPD\ALPD\images\N318.xml,119,263,117,160
Users\EAGLEEYE\ALPD\ALPD\images\N319.xml,167,232,228,259
Users\EAGLEEYE\ALPD\ALPD\images\N331.xml,164,235,220,240
Users\EAGLEEYE\ALPD\ALPD\images\N457.xml,738,1009,654,722
Users\EAGLEEYE\ALPD\ALPD\images\N443.xml,976,1284,669,754
Users\EAGLEEYE\ALPD\ALPD\images\N325.xml,230,262,180,196
Users\EAGLEEYE\ALPD\ALPD\images\N95.xml,278,407,182,263
Users\EAGLEEYE\ALPD\ALPD\images\N42.xml,177,217,140,159
Users\EAGLEEYE\ALPD\ALPD\images\N494.xml,186,395,376,430
Users\EAGLEEYE\ALPD\ALPD\images\N480.xml,189,299,162,188
Users\EAGLEEYE\ALPD\ALPD\images\N133.xml,247,375,185,223
Users\EAGLEEYE\ALPD\ALPD\images\N279.xml,42,202,131,243
Users\EAGLEEYE\ALPD\ALPD\images\N245.xml,91,164,110,138
Users\EAGLEEYE\ALPD\ALPD\images\N523.xml,813,1067,665,724
Users\EAGLEEYE\ALPD\ALPD\images\N537.xml,532,852,636,706
Users\EAGLEEYE\ALPD\ALPD\images\N251.xml,136,210,134,153
Users\EAGLEEYE\ALPD\ALPD\images\N286.xml,201,288,191,230
Users\EAGLEEYE\ALPD\ALPD\images\N7.xml,166,206,141,154
Users\EAGLEEYE\ALPD\ALPD\images\N292.xml,91,137,187,208
Users\EAGLEEYE\ALPD\ALPD\images\N284.xml,70,260,199,271
Users\EAGLEEYE\ALPD\ALPD\images\N290.xml,224,271,84,118
Users\EAGLEEYE\ALPD\ALPD\images\N521.xml,31,139,128,161
Users\EAGLEEYE\ALPD\ALPD\images\N535.xml,157,316,226,278
Users\EAGLEEYE\ALPD\ALPD\images\N509.xml,150,378,217,269
Users\EAGLEEYE\ALPD\ALPD\images\N125.xml,280,355,196,257
Users\EAGLEEYE\ALPD\ALPD\images\N496.xml,124,209,102,130
Users\EAGLEEYE\ALPD\ALPD\images\N40.xml,261,317,186,211
